EU rejects German call to boycott British lamb .	B-ORG O B-MISC O O O B-MISC O O
His statement gave no venue or precise date for the meeting .	O O O O O O O O O O O O
The United States has already called on the Kurdish factions to hold peace talks in London .	O B-LOC I-LOC O O O O O B-MISC O O O O O O B-LOC O
The KDP said Thursday night it had repelled an attack by thousands of PUK fighters , killing , wounding or capturing about 400 opposing guerrillas .	O B-ORG O O O O O O O O O O O B-ORG O O O O O O O O O O O O
The fighting has threatened a U.S.-led peace plan to unite the mountainous Kurdish region in northern Iraq against President Saddam Hussein .	O O O O O B-MISC O O O O O O B-MISC O O O B-LOC O O B-PER I-PER O
One teen left dead by attack on U.S. slumber party .	O O O O O O O B-LOC O O O
CHESAPEAKE , Va .	B-LOC O B-LOC O
1996-08-23	O
A knife-wielding neighbour apparently intent on sexual assault invaded a teenage slumber party on Friday , killing one girl and wounding three others , police said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
At about 4 a.m. EDT ( 0800 GMT ) , a group of teenaged girls were having the overnight party in the Camelot subdivision of this eastern Virginia city , when a man entered the house , wielding a knife , threatening to sexually assault the girls .	O O O O O O O B-MISC O O O O O O O O O O O O O O B-LOC O O O O B-LOC O O O O O O O O O O O O O O O O O O O O
Detective Richard Black of the Chesapeake Police Department , said a neighbour , Curtis Lee White II , 19 , was arrested in the attack , but had not been charged by late morning on Friday .	O B-PER I-PER O O B-ORG I-ORG I-ORG O O O O O B-PER I-PER I-PER I-PER O O O O O O O O O O O O O O O O O O O O
There were apparently no adults at the party as the father of the family who lived in the house was out of town and the mother died more than a year ago , Black said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O
The detective said details were sketchy , but two of the teenagers were reportedly downstairs watching television when White allegedly entered the house and told the girls to take off their clothes .	O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O O
He said a male teenager sleeping upstairs reportedly heard the commotion and came downstairs and confronted White , who allegedly stabbed him more than once .	O O O O O O O O O O O O O O O O B-PER O O O O O O O O O
The other teenagers also confronted the assailant and three girls , all under 18 , were stabbed , one fatally .	O O O O O O O O O O O O O O O O O O O O O
" At least two of them were sexually molested , " Black said .	O O O O O O O O O O O B-PER O O
He said all of the wounded teenagers were taken to a hospital but none of the injuries were considered life-threatening .	O O O O O O O O O O O O O O O O O O O O O
Police said the girl who died was identified as Michelle Harper .	O O O O O O O O O B-PER I-PER O
Her age was not given .	O O O O O O
Glickman says USDA monitoring aflatoxin in Texas .	B-PER O B-ORG O O O B-LOC O
WASHINGTON 1996-08-23	B-LOC O
Agriculture Secretary Dan Glickman said the department was monitoring reports of aflatoxin found in corn in parts of Texas .	O O B-PER I-PER O O O O O O O O O O O O O O B-LOC O
" We 're always concerned about aflatoxin but we 're on top of it , " Glickman told reporters after addressing a USDA-sponsored farmers ' market .	O O O O O O O O O O O O O O O O B-PER O O O O O B-MISC O O O O
" That 's a perennial problem .	O O O O O O O
It may be a little more problematic because of cold , wet conditions but we 're on top of it , " the secretary said .	O O O O O O O O O O O O O O O O O O O O O O O O O O
Asked about reports Egypt has set new levels for a vomitoxin in its purchase of U.S. wheat , the secretary said " I do n't know anything about it " but added that USDA officials were " looking at it . "	O O O B-LOC O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O
Mass .	B-LOC O
governor has trouble winning home support .	O O O O O O O
BOSTON 1996-08-23	B-LOC O
The 12-year-old daughter of Republican Gov .	O O O O B-MISC O O
William Weld is working to stop his bid to win a U.S. Senate seat because she does n't want to leave Massachusetts .	B-PER I-PER O O O O O O O O O B-LOC B-ORG O O O O O O O O B-LOC O
Weld conceded his 12-year-old daughter , Franny , is " a foot soldier " for Democratic incumbent Sen .	B-PER O O O O O B-PER O O O O O O O O B-MISC O O O
John Kerry , even though she is n't old enough to vote .	B-PER I-PER O O O O O O O O O O O
Weld , speaking on WBUR-FM radio on Thursday , said he was facing a revolt from his daughter in part because she does not want to leave Cambridge , Massachusetts , and move to Washington .	B-PER O O O B-ORG O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O O O O B-LOC O
He also said Franny Weld 's best friend , Tracy Roosevelt , might have something to do with her politics .	O O O B-PER I-PER O O O O B-PER I-PER O O O O O O O O O O
Tracy is the great-granddaughter of Democratic former President Franklin Roosevelt , and support for Democrats runs in the family .	B-PER O O O O B-MISC O O B-LOC I-LOC O O O O B-MISC O O O O O
The Roosevelts are good friends of Weld and his wife , Susan Roosevelt Weld , a descendant of former President Theodore Roosevelt , who won the presidency as a Republican .	O B-PER O O O O B-PER O O O O B-PER I-PER I-PER O O O O O O B-PER I-PER O O O O O O O B-MISC O
Lufthansa cargo Q2 load factor up 1.7 pct .	B-ORG O O O O O O O O
FRANKFURT 1996-08-23	B-LOC O
The following table shows Lufthansa Cargo AG second quarter 1996 results , based on figures published by Deutsche Lufthansa AG in-house newspaper	O O O O B-ORG I-ORG I-ORG O O O O O O O O O O B-ORG I-ORG I-ORG O O
Lufthanseat .	B-ORG O
Available freight-tonne kilometres ( million ) 2,389 up 4 pct	O O O O O O O O O O
Revenue freight-tonne kilometres ( million ) 1,600 up 7 pct	O O O O O O O O O O
Freight load factor 67.0 up 1.7 pct pts	O O O O O O O O
Revenue from transport ( Dm million ) 820 up 2 pct	O O O O B-MISC O O O O O O
Revenue from other services ( Dm million ) 14 down 26 pct	O O O O O B-MISC O O O O O O
Staff costs ( Dm million ) 116 up 8 pct	O O O B-MISC O O O O O O
Fuel costs ( Dm million ) 69 up 20 pct	O O O B-MISC O O O O O O
Flight-related fees ( Dm million ) 125 up 17 pct	O O O B-MISC O O O O O O
- Air Cargo Newsroom Tel+44 171 542 7706 Fax+44 171 542 5017	O B-ORG I-ORG I-ORG O O O O O O O O
WSC-India Rice Weather , Aug 23 .	B-ORG O O O O O O
SUMMARY- Showers 0.25-1.30 inch ( 6-33 mm ) and locally heavier through much of India , 75 percent coverage .	O O O O O O O O O O O O O O B-LOC O O O O O
Isolated showers 0.20-0.70 inch ( 5-18 mm ) in the north .	O O O O O O O O O O O O
Highs 82-96F ( 28-36C ) .	O O O O O O
CROP IMPACT- Conditions remain favorable for the development of rice in the region .	O O O O O O O O O O O O O O
FORECAST-	O
TODAY ...	O O
Showers and rain 0.25-1.00 inch ( 6-25 mm ) and locally heavier through most of central and south central India , up to 0.75 inch ( 19 mm ) in 75 percent of north central India , and only isolated up to 0.50 inch ( 13 mm ) elsewhere over India .	O O O O O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O B-LOC O
Highs 82-96F ( 28-36C ) .	O O O O O O
TONIGHT ...	O O
Variable clouds in southern India with showers .	O O O O B-LOC O O O
Partly cloudy in northern India with a few light showers .	O O O O B-LOC O O O O O O
Lows 68-76F ( 20-24C ) .	O O O O O O
TOMORROW ...	O O
Little change from today 's weather expected .	B-PER O O O O O O O
OUTLOOK ...	O O
Numerous to scattered showers and thunderstorms in southern and central India , and isolated showers to the north Sunday through Tuesday .	O O O O O O O O O O B-LOC O O O O O O O O O O O
Temperatures near normal .	O O O O
Source : Weather Services Corporation	O O B-ORG I-ORG I-ORG
Washington to curb Tamil support in U.S. - Sri Lanka .	B-LOC O O B-MISC O O B-LOC O B-LOC I-LOC O
COLOMBO 1996-08-23	B-LOC O
Sri Lanka said on Friday the United States had promised to stamp out any illegal activities on U.S. soil directed against the island 's government .	B-LOC I-LOC O O O O B-LOC I-LOC O O O O O O O O O B-LOC O O O O O O O O
The Sri Lankan foreign ministry said in a statement : " The United States government sympathised with the current predicament Sri Lanka was facing . "	O B-MISC I-MISC O O O O O O O O O B-LOC I-LOC O O O O O O B-LOC I-LOC O O O O
The statement said the U.S. government " would do all within its prevailing legal framework to prevent the use of American soil to perpetrate violence against the democratic government of Sri Lanka " .	O O O O B-LOC O O O O O O O O O O O O O O O B-MISC O O O O O O O O O B-LOC I-LOC O O
It said the U.S. State Department 's coordinator for counter terrorism , Philip Wilcox , had expressed Washington 's support for the government when he visited Colombo this week .	O O O B-ORG I-ORG I-ORG O O O O O O B-PER I-PER O O O B-LOC O O O O O O O O B-LOC O O O
Colombo has said it believes Tamil rebels , fighting a 13-year war for independence against the government , finance their military activity through funds extorted from expatriate Sri Lankans in western countries such as the United States .	B-LOC O O O O B-MISC O O O O O O O O O O O O O O O O O O O O O B-MISC I-MISC O O O O O O B-LOC I-LOC O
U.S. embassy officials in Colombo were not immediately available to comment on the report .	B-LOC O O O B-LOC O O O O O O O O O O
Colombo estimates more than 50,000 people have been killed in the war between government forces and the Liberation Tigers of Tamil Eelam rebels in the island 's north and east .	B-LOC O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O
Nepal 's king leaves on week-long visit to China .	B-LOC O O O O O O O B-LOC O
KATHMANDU 1996-08-23	B-LOC O
King Birendra left Nepal on Friday for a week-long visit to China , his eighth since ascending the throne in 1972 , officials said .	O B-PER O B-LOC O O O O O O O B-LOC O O O O O O O O O O O O O
The constitutional monarch , who last visited China in 1993 , was scheduled to meet Chinese President Jiang Zemin and Premier Li Peng during his visit , they said .	O O O O O O O B-LOC O O O O O O O B-MISC O B-PER I-PER O O B-PER I-PER O O O O O O O
Foreign ministry officials gave no details of the issues the king , who was accompanied by Foreign Minister Prakash Chandra Lohani , would discuss with Chinese leaders .	O O O O O O O O O O O O O O O O O O B-PER I-PER I-PER O O O O B-MISC O O
The Himalayan kingdom , sandwiched between China and India , has traditionally sought to maintain close cooperation with its giant neighbours , and an equal distance from the two .	O B-MISC O O O O B-LOC O B-LOC O O O O O O O O O O O O O O O O O O O O O
The 50-year old monarch was accompanied by Queen Aishwarya on a flight to the Tibetan capital of Lhasa .	O O O O O O O O B-PER O O O O O B-MISC O O B-LOC O
The king will visit Chongqing before arriving in the Chinese capital , Beijing , early next week , officials said .	O O O O B-LOC O O O O B-MISC O O B-LOC O O O O O O O O
Nepal man held for keeping child servant in chains .	B-LOC O O O O O O O O O
KATHMANDU 1996-08-23	B-LOC O
Nepali police said on Friday they arrested a man who allegedly kept a child servant bound in chains so that he would not run away when his employer was out to work .	B-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Madhusudan Munakarmi was arrested on Thursday after his neighbours informed police about the plight of 12-year old Dhiraj K.C. , who told police his employer used to tie him up with iron chains and locks concealed under his clothes .	B-PER I-PER O O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O
The neighbours in Kathmandu called the police when they saw Dheeraj , employed by the man for the past nine months , limping because of the chains .	O O O B-LOC O O O O O O B-PER O O O O O O O O O O O O O O O O O
" I feared he would flee from work or steal my belongings , " the Kathmandu Post newspaper quoted Munakarmi as saying after his arrest .	O O O O O O O O O O O O O O O B-ORG I-ORG O O B-PER O O O O O O
If convicted , he faces a maximum of three years in jail under Nepal 's child protection laws .	O O O O O O O O O O O O O B-LOC O O O O O
OPTIONS - Euro debt vols seen regrouping after fall .	O O B-MISC O O O O O O O
LONDON 1996-08-23	B-LOC O
Implied volatility of European bond and interest rate options should stabilise around current levels until early next week after falling before and after this week 's German-led cut in interest rates , traders said .	O O O B-MISC O O O O O O O O O O O O O O O O O O O O O O B-MISC O O O O O O O O
" Volatility has come off a lot .	O O O O O O O O
We 're looking for it to stabilise now , " said one Euromark options trader at a U.S. bank .	O O O O O O O O O O O O B-MISC O O O O B-LOC O O
A trader at a Japanese bank said Euromark volatility now stood at 14.00 for September contract , 16.75 for December , 19.50 for March and 21.25 for June .	O O O O B-MISC O O B-MISC O O O O O O O O O O O O O O O O O O O O O
This compared with midweek levels , before the welter of interest rate cuts , of 18.50 for September , 20.00 for December , 22.00 for March and 23.5 for June , he said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
At 1347 GMT , December Euromark futures were trading at 96.78 , two basis points down on the day .	O O B-MISC O O B-MISC O O O O O O O O O O O O O O
He said the sell-off in June vols might have been overdone , which could offer value at current levels .	O O O O O O O O O O O O O O O O O O O O
He said caps and floors would be well bid after the round of interest rate cuts due to the fact these rates should stay low at the short end .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The size of the Bundesbank 's repo rate cut , to 3.00 percent from 3.30 percent , took markets by surprise .	O O O O B-ORG O O O O O O O O O O O O O O O O O
" Volatility has a bid to it -- longer-dated volatility more than short-dated because the event people were buying for has passed and now perhaps people will sell some short dated vol and buy some long dated vol , " he said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" Long dated volatility has been low this year , so it is still at levels which are not historically high .	O O O O O O O O O O O O O O O O O O O O O O
" It is not a dangerous level to own vol. You are not going to lose a lot and you could make quite a bit . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O
He said volatility levels should be stable until markets reassess the situation after a long weekend in Britain .	O O O O O O O O O O O O O O O O O B-LOC O
Paribas Capital Markets OTC options specialist Robert Coughlan said that if volatility continued lower for the rest of Friday in over-the-counter 10-year Bunds , it should be higher next Tuesday .	B-ORG I-ORG I-ORG I-ORG O O B-PER I-PER O O O O O O O O O O O O O O B-MISC O O O O O O O O
He said the absence on holiday of many market makers was a main factor behind falls this week in volatility in high-yielding markets such as Italy , Spain and Sweden .	O O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O B-LOC O
Coughlan said the market had more downside than upside potential , but a fall was not likely to be of significant size .	B-PER O O O O O O O O O O O O O O O O O O O O O O
" I recommend people sell strangles in a number of markets -- in Germany and France in particular .	O O O O O O O O O O O O O B-LOC O B-LOC O O O
" With high-yielding markets Italy will be a lot more vulnerable in September on economic and political fronts , so I would use current the low level of vol to buy options .	O O O O B-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" So sell options on Bunds and France to enhance yield and buy options on Italy , " Coughlan said ..	O O O O O B-MISC O B-LOC O O O O O O O B-LOC O O B-PER O O
-- Stephen Nisbet , International Bonds +44 171 542 6320	O B-PER I-PER O B-ORG I-ORG O O O O
Goldman Sachs sets warrants on Continental .	B-ORG I-ORG O O O B-ORG O
LONDON 1996-08-23	B-LOC O
Goldman Sachs & Co Wertpapier GmbH has issued a total of five million American-style call warrants , on Continental AG , lead manager Goldman Sachs & Co said .	B-ORG I-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O B-MISC O O O O B-ORG I-ORG O O O B-ORG I-ORG I-ORG I-ORG O O
One warrant controls one share .	O O O O O O
STRIKE PRICE 25.00 DEM PREMIUM 10.12 PCT	O O O B-MISC O O O
ISSUE PRICE 2.42 DEM GEARING 10.29 X	O O O B-MISC O O O
EXERCISE PERIOD 02.SEP.96-21.NOV.97 PAYDATE 30.AUG.96	O O O O O
LISTING DDF FFT STG MIN EXER LOT 100	O O O O O O O O
SPOT REFERENCE 24.90 DEM	O O O B-MISC
-- Reuter London Newsroom +44 171 542 7658	O B-ORG I-ORG I-ORG O O O O
Legal challenge to Diana delayed by jail term .	O O O B-PER O O O O O
LONDON 1996-08-23	B-LOC O
A British photographer branded a stalker by Princess Diana has been forced to postpone a legal challenge to a ban on approaching her because he 's been jailed for criminal damage , his lawyer said on Friday .	O B-MISC O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Martin Stenning started a 12-week jail sentence on Thursday just as he was preparing to contest an injunction obtained by Diana banning him from coming within 300 metres ( yards ) of her .	B-PER I-PER O O O O O O O O O O O O O O O O O O B-PER O O O O O O O O O O O O O
" We were in the process of preparing a detailed affidavit responding to the Princess 's affadavit and expected to go to court in the next couple of weeks , " said Stenning 's lawyer , Benedict Birnberg . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O B-PER I-PER O O
But everything has been put on ice now . "	O O O O O O O O O O
Birnberg told Reuters that the challenge to the injunction would be delayed until Stenning was released .	B-PER O B-ORG O O O O O O O O O O B-PER O O O
Stenning threw a brick through the window of a van in February after an argument with a driver when he was working as a motorcycle dispatch rider .	B-PER O O O O O O O O O O O O O O O O O O O O O O O O O O O
Stenning , who has previous convictions , is expected to appeal against the sentence .	B-PER O O O O O O O O O O O O O O
Magistrates also ordered him to pay compensation of 182 pounds ( $ 282 ) .	O O O O O O O O O O O O O O O
The freelance photographer was branded a stalker by Diana , whose divorce from heir-to-the-throne Prince Charles is due to become final next week , after persistently trailing her on his motorcycle .	O O O O O O O O B-PER O O O O O O B-PER O O O O O O O O O O O O O O O O
In an affidavit , the princess said that in chasing her Stenning had got so close that he twice smashed into her car and pushed her when she tried to remove the film from his camera .	O O O O O O O O O O O B-PER O O O O O O O O O O O O O O O O O O O O O O O O O
Stenning has rejected Diana 's claims and said he was being made a scapegoat to scare off press photographers .	B-PER O O B-PER O O O O O O O O O O O O O O O O
Jordan expels Iraqi diplomat .	B-LOC O B-MISC O O
AMMAN 1996-08-23	B-LOC O
Jordan has asked an Iraqi diplomat to leave the kingdom for carrying out duties incompatible with diplomatic norms , an official source said on Friday .	B-LOC O O O B-MISC O O O O O O O O O O O O O O O O O O O O O
The move came after Amman blamed Iraq and a pro-Baghdad local political party for last week 's worst unrest in seven years after a government decision to double prices of bread .	O O O O B-LOC O B-LOC O O B-MISC O O O O O O O O O O O O O O O O O O O O O O
The government declined comment .	O O O O O
" Jordan has asked Mr. Adel Ibrahim , the Iraqi embassy 's press attache , to leave because he was carrying out duties incompatible with diplomatic norms , " the source told Reuters .	O B-LOC O O O B-PER I-PER O O B-MISC O O O O O O O O O O O O O O O O O O O O O O B-ORG O
He said Ibrahim was still in Amman .	O O B-PER O O O B-LOC O
The Jordanian Arab Socialist Baath Party has denied involvement in unrest which it blamed on government policies and rising economic hardship .	O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O
The riots , which shook Jordan for two days , broke out after last Friday 's main prayers in the southern town of Karak and spread to Amman .	O O O O O B-LOC O O O O O O O O O O O O O O O O O B-LOC O O O B-LOC O
Kurd rebels to free Turkish soldier prisoners .	B-MISC O O O B-MISC O O O
DOHUK , Iraq 1996-08-23	B-LOC O B-LOC O
Turkish Kurd guerrillas said on Friday they would free seven Turkish soldiers they hold in northern Iraq under a tentative Islamist peace bid .	B-MISC I-MISC O O O O O O O O B-MISC O O O O O B-LOC O O O B-MISC O O O
" ...For the sake of safety we are asking for their family members or the authorities to come and pick them up , " Kurdistan Workers Party ( PKK ) central committee member Riza Altun told journalists near the Iraqi city of Dohuk .	O O O O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O O O B-PER I-PER O O O O B-MISC O O B-LOC O
PKK guerrillas would accompany the soldiers , captured last spring in one of Turkey 's frequent cross-border drives , until they could be handed over , he said .	B-ORG O O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O O
Their release has been negotiated by Islamist writer Ismail Nacar as part of a wider effort , partly backed by Prime Minister Necmettin Erbakan , to find a political solution to Turkey 's Kurdish problem .	O O O O O O B-MISC O B-PER I-PER O O O O O O O O O O O O B-PER I-PER O O O O O O O B-LOC O B-MISC O O
Erbakan has encouraged Nacar 's bid but has ruled out direct talks with the rebels .	B-PER O O B-PER O O O O O O O O O O O O
The PKK often uses bases in northern Iraq in its fight for autonomy or independence in southeast Turkey .	O B-ORG O O O O O B-LOC O O O O O O O O O B-LOC O
More than 20,000 people have died in 12 years of fighting between the guerrillas and Turkish forces .	O O O O O O O O O O O O O O O B-MISC O O
SOLIDERE shares mixed on market .	B-ORG O O O O O
BEIRUT 1996-08-23	B-LOC O
SOLIDERE shares were mixed on Friday on the privately-operated Beirut Secondary Market ( BSM ) .	B-ORG O O O O O O O O B-ORG I-ORG I-ORG O B-ORG O O
A shares -- distributed to former holders of property rights in the Beirut central district SOLIDERE is rebuilding -- closed at $ 104.625 unchanged from Thursday .	O O O O O O O O O O O O B-LOC O O B-ORG O O O O O O O O O O O
B shares -- issued in a $ 650-million subscription in January 1994 -- rose to $ 106.5 from $ 106.375 a day earlier .	O O O O O O O O O O O O O O O O O O O O O O O O
Turnover on BSM , which trades only SOLIDERE shares , was 8,049 shares from Thursday 's 8,757 and value was $ 850,968 from $ 918,288 .	O O B-ORG O O O O B-ORG O O O O O O O O O O O O O O O O O O
On the official Beirut Stock Exchange , only 1,185 Ciments Libanais shares were traded at $ 1.1875 compared with 2,036 shares traded on Thursday at the same price .	O O O B-ORG I-ORG I-ORG O O O B-ORG I-ORG O O O O O O O O O O O O O O O O O O
There was no trade in any of the three other listed companies : Ciments Blancs , Eternit and Uniceramic .	O O O O O O O O O O O O O B-ORG I-ORG O B-ORG O B-ORG O
The BLOM Stock Index which covers both markets rose 0.04 percent to 903.09 and the LISPI index rose 0.02 percent to 81.58 .	O B-MISC I-MISC I-MISC O O O O O O O O O O O B-MISC O O O O O O O
- Beirut editorial ( 961 1 ) 864148 353078 861723	O B-LOC O O O O O O O O
Zenith lands $ 1 billion contract , plans $ 100 million plant .	B-ORG O O O O O O O O O O O O
Susan Nadeau	B-PER I-PER
CHICAGO 1996-08-22	B-LOC O
A consortium of telephone companies and The Walt Disney Co .	O O O O O O B-ORG I-ORG I-ORG I-ORG O
said Thursday it had signed a $ 1 billion contract with Zenith to make digital televison set-top boxes for its home entertainment service .	O O O O O O O O O O O B-ORG O O O O O O O O O O O O
The announcement of the contract for 3 million set-top boxes gave new hope to Zenith , which has struggled with years of losses .	O O O O O O O O O O O O O O B-ORG O O O O O O O O O
" This really indicates we 're back in the business , " William Luehrs , president of the Glenview , Ill.-based company 's Networks Services Division , said in a telephone interview . "	O O O O O O O O O O O O B-PER I-PER O O O O B-LOC O B-MISC O O B-ORG I-ORG I-ORG O O O O O O O O
Anytime somebody gets the opportunity to enter the next era with such a big bang has got to be seen as a strong message to the industry . "	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Following the announcement , Zenith 's stock soared $ 5.50 to $ 16.875 on the New York Stock Exchange .	O O O O B-ORG O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O
The consortium , called Americast , said the contract was part of its strategy to develop and market the next generation in home entertainment .	O O O O B-ORG O O O O O O O O O O O O O O O O O O O O
In addition to Disney , Americast 's partners are phone companies Ameritech Corp. , BellSouth Corp. , GTE Corp. and SBC Communications .	O O O B-ORG O B-ORG O O O O O B-ORG I-ORG O B-ORG I-ORG O B-ORG I-ORG O B-ORG I-ORG O
Americast said Southern New England Telecommunications Corp. has signed a letter of intent to join the group , which plans to provide a home entertainment service similar to cable television .	B-ORG O B-ORG I-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O O O O O O O O O O O O
Zenith also said it planned to build a new $ 100 million plant in Woodridge , Ill .	B-ORG O O O O O O O O O O O O O B-LOC O B-LOC O
, to make picture tubes for 32- and 35-inch screen TV sets .	O O O O O O O O O O O O O
The company currently buys the tubes from competitors .	O O O O O O O O O
The new plant , which is dependent on obtaining financing , will create about 280 new jobs , Zenith said .	O O O O O O O O O O O O O O O O O O B-ORG O O
The contract calls for production of the set-top boxes over five years .	O O O O O O O O O O O O O
Luehrs said manufacturing will begin and revenue will start to roll in during the first half of next year .	B-PER O O O O O O O O O O O O O O O O O O O
The boxes will be made on a build-to-order basis .	O O O O O O O O O O
Zenith will convert its Chihuahua , Mexico , analogue set-top box plant to manufacture the digital boxes .	B-ORG O O O B-LOC O B-LOC O O O O O O O O O O O
Luehrs declined to say when the operation was expected to be profitable .	B-PER O O O O O O O O O O O O
Americast will provide the boxes to subscribers as part of the service .	B-ORG O O O O O O O O O O O O
Its service is being introduced in selected markets across the United States .	O O O O O O O O O O B-LOC I-LOC O
Luehrs said digital technology in set-top boxes is only the beginning and said the technology will eventually show up in retail consumer electronics .	B-PER O O O O O O O O O O O O O O O O O O O O O O O
" We 'll build a lot of these devices into television sets , for digital television , " he said . "	O O O O O O O O O O O O O O O O O O O O O O
Although that is not where this particular contract is headed , the fact that there is a strong Zenith presence will pay us dividends in the future . "	O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O
Zenith has been plagued by generally soft conditions in the colour television industry , reporting full-year losses since 1989 .	B-ORG O O O O O O O O O O O O O O O O O O O
Last month , it reported a second-quarter loss of $ 33.2 million , or 51 cents a share , vs. a loss of $ 45.3 million , or 97 cents a share , a year earlier .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Last November , South Korea-based LG Electronics Inc. bought a majority stake in Zenith .	O O O B-MISC I-MISC B-ORG I-ORG I-ORG O O O O O B-ORG O
Robert Gutenstein , an analyst for Kalf , Voorhis & Co .	B-PER I-PER O O O O B-ORG I-ORG I-ORG I-ORG I-ORG O
, said the contract was " not unique , but it 's big . "	O O O O O O O O O O O O O O O
" Digital is coming , it 's economic and the question is what will make the consumer happy and at what price . "	O O O O O O O O O O O O O O O O O O O O O O O O
Natural Law Party says it can meditate problems away .	B-ORG I-ORG I-ORG O O O O O O O
WASHINGTON 1996-08-22	B-LOC O
From the people who brought you hundreds of " yogic fliers " who claimed to defy nature by levitating comes The Natural Law Party , a minor political party that nominated a presidential candidate on Thursday .	O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG I-ORG O O O O O O O O O O O O O
At a hotel convention here , the party associated with the Transcendental Meditation ( TM ) movement named physicist John Hagelin as its presidential nominee for the Nov. 5 election .	O O O O O O O O O O O B-MISC I-MISC O B-MISC O O O O B-PER I-PER O O O O O O O O O O
The party is running on a platform claiming it can ward off problems before they occur through techniques such as mass meditation that would reduce stress , crime , terrorism and even wars .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
" Social stress can be reduced and problems such as crime and violence will automatically decrease , " said a party paper .	O O O O O O O O O O O O O O O O O O O O O O O
Many party members are practitioners of TM , which involves meditating to a repeated word or phrase , called a mantra .	O O O O O O B-MISC O O O O O O O O O O O O O O O
Some advanced TM followers contend they can actually mediate to such a point that they fly .	O O B-MISC O O O O O O O O O O O O O O
But in a demonstration of " yogic flying " several years ago , critics said the people were merely bouncing off the ground from a sitting position .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Huge Windows 95 sales fail to meet expectations .	O B-MISC I-MISC O O O O O O
Martin Wolk	B-PER I-PER
SEATTLE 1996-08-22	B-LOC O
A year after its massively publicized introduction , Microsoft Corp. 's Windows 95 computer operating system has fallen short of the most optimistic expectations for the software giant and the industry .	O O O O O O O O B-ORG I-ORG O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O
Even though more than 40 million copies of Windows 95 have been sold , making it the fastest-selling new software ever , it would have been impossible for any product to live up to the unprecedented hype of the Aug. 24 , 1995 launch , when stores around the world opened at midnight to greet long lines of customers .	O O O O O O O O B-MISC I-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
The Redmond , Wash.-based company spent tens of millions of dollars promoting the product with stunts that included buying the entire print run of the Times of London and lighting New York 's Empire State building in a Windows color scheme .	O B-PER O B-MISC O O O O O O O O O O O O O O O O O O O O O B-ORG I-ORG I-ORG O O B-LOC I-LOC O B-LOC I-LOC O O O B-MISC O O O
But the product , delivered eight months late , has fallen short of its sales potential in part because Microsoft delivered a mixed message to business customers , analysts said .	O O O O O O O O O O O O O O O O O O O B-ORG O O O O O O O O O O O
" It did n't do as well as it could have , " said Rob Enderle , an analyst with Giga Information Group .	O O O O O O O O O O O O O O B-PER I-PER O O O O B-ORG I-ORG I-ORG O
Scores of software and hardware companies that had hoped for a big boost in sales were disappointed when only a brief spike materialized .	O O O O O O O O O O O O O O O O O O O O O O O O
" People who were expecting major coat-tails were somewhat disappointed , " said Scott Winkler , an analyst with Gartner Group .	O O O O O O O O O O O O O B-PER I-PER O O O O B-ORG I-ORG O
" It 's not as though it has n't had an impact , " he said . "	O O O O O O O O O O O O O O O O O O
It just has n't had the huge earth-shattering impact some people were looking for . "	O O O O O O O O O O O O O O O O
